distance,transect
14.2,S9.1
11.8,S9.1
114.6,S9.2
56.5,S9.2
55,S9.2
,S9.3
172,S9.4
45.5,S9.4
47.6,S9.5
39.4,S9.5
,S9.6
,S9.7
,S9.8
,SP1
,SP2
,SP3
,SP5
,SP6
,SP7
,SP8
41.6,T1
22.4,T1
49.8,T2
42.2,T2
34.4,T2
9.8,T2
61.8,T3
55.4,T3
22.4,T3
,T4
50.2,T5
17.8,T5
3,T5
,T6
62.4,T7
,T8
,W17.1
,W17.2
52.5,W17.3
141,W17.4
88.4,W17.5
102.6,W17.6
48.8,W17.6
18.4,W17.6
15.8,W17.6
8,W17.6
91.2,W17.7
52.2,W17.8
53.4,W19.1
10,W19.1
56.8,W19.2
27.8,W19.2
21.4,W19.2
12.8,W19.2
,W19.3
,W19.4
38.8,W19.5
78,W19.6
83.6,W19.7
59.2,W19.7
61,W19.8
67.8,W20.1
47,W20.1
,W20.2
41.6,W20.3
36.5,W20.3
31.6,W20.3
28.4,W20.3
,W20.4
54.4,W20.5
125.6,W20.6
148,W20.6
63,W20.7
173,W20.7
113,W20.8
143,W20.8
57.6,W20.8
18,W21.1
7.4,W21.1
68.8,W21.2
68.4,W21.3
34.4,W21.3
93,W21.4
4,W21.5
,W21.6
,W21.7
,W21.8
,W22.1
,W22.2
,W22.3
,W22.4
,W22.5
77,W22.6
48.4,W22.6
33.8,W22.6
23.8,W22.6
17.8,W22.6
,W22.7
,W22.8
,W23.1
,W23.2
,W23.3
,W23.4
,W23.5
,W23.6
,W23.7
,W23.8
,W3.1
,W3.2
,W3.3
73.2,W3.4
67,W3.4
,W3.5
,W3.6
,W3.7
,W3.8
,W5.1
,W5.2
,W5.3
,W5.4
26,W5.5
24.6,W5.5
,W5.6
,W5.7
,W5.8
,W7.1
21,W7.2
,W7.3
,W7.4
10.8,W7.5
,W7.6
8,W7.7
,W7.8
