layer,LU,FI,EE,V,OP,BS
711,RESIDENTIAL,11,25,B,0,6
712,RESIDENTIAL,0,26,F,0,3
713,RESIDENTIAL,2,51,B,1106.551366,7
714,RESIDENTIAL,10,14,B,1155.071669,7
715,RESIDENTIAL,17,33,B,1170.945258,8
716,RESIDENTIAL,11,92,B,1305.635538,6
717,RESIDENTIAL,3,28,B,0,4
718,RESERVE,0,0,B,0,0
719,RESERVE,0,0,D,0,0
720,RESERVE,0,0,D,0,0
721,RESIDENTIAL,1,8,D,0,1
722,RESIDENTIAL,0,0,F,63.714373,3
723,RESIDENTIAL,10,9,B,1284.584474,5
724,RESIDENTIAL,8,1,F,143.441863,4
725,BUSINESS,10,44,B,0,2
726,RESERVE,0,10,A,0,0
727,RESERVE,0,0,D,0,0
728,RESERVE,0,0,D,0,0
729,RESERVE,0,0,D,0,0
730,RESERVE,0,0,G,0,0
731,RESERVE,0,0,G,0,0
732,RESERVE,0,0,G,0,0
766,RESERVE,0,0,G,0,0
767,RESERVE,0,0,G,0,0
768,RESERVE,0,0,C,0,0
786,RESERVE,0,0,G,0,0
787,RESERVE,0,0,G,0,0
788,RESERVE,0,0,G,0,0
789,RESERVE,0,0,D,0,0
790,RESERVE,0,0,D,0,0
791,RESERVE,0,0,D,0,5
792,GREENERY,0,0,F,0,0
793,GREENERY,0,0,D,0,0
794,GREENERY,0,0,D,0,0
795,GREENERY,0,0,D,0,0
796,TRANSPORTATION,0,0,F,0,0
797,TRANSPORTATION,0,0,C,0,0
800,BUSINESS,0,5,B,0,4
801,BUSINESS,0,0,B,180.067249,2
802,BUSINESS,1,31,B,0,4
803,RESERVE,0,0,D,117.836267,2
804,BUSINESS,1,0,D,0,1
805,RESIDENTIAL,0,0,D,200.011124,0
806,RESIDENTIAL,5,21,F,1455.291043,7
807,RESIDENTIAL,21,95,F,1077.980166,4
808,RESIDENTIAL,4,0,B,1397.788568,5
809,RESIDENTIAL,5,136,B,807.12964,4
810,RESIDENTIAL,6,34,B,144.242333,4
811,RESIDENTIAL,8,9,B,79.86092,9
812,RESIDENTIAL,2,28,B,87.151548,6
813,RESERVE,2,15,B,0,0
814,RESERVE,0,0,D,0,0
815,RESERVE,0,0,C,0,0
816,RESERVE,0,0,F,0,0
817,RESERVE,1,1,F,0,0
818,RESIDENTIAL,11,18,E,219.134284,3
819,RESIDENTIAL,13,29,B,452.248471,5
820,RESIDENTIAL,11,88,B,754.16828,3
821,RESIDENTIAL,12,74,A,0,6
822,RESIDENTIAL,0,6,B,0,0
823,RESERVE,0,0,D,0,0
824,RESERVE,0,0,D,0,0
825,RESERVE,0,0,D,0,0
826,RESERVE,0,0,D,0,0
827,RESERVE,0,0,G,0,0
828,RESERVE,0,0,G,0,0
860,RESERVE,0,0,G,0,0
861,RESERVE,0,0,G,0,0
862,RESERVE,0,0,G,0,0
863,RESERVE,0,0,G,0,0
864,RESERVE,0,0,G,0,0
880,RESERVE,0,0,G,0,0
881,RESERVE,0,0,G,0,0
883,RESERVE,0,0,D,0,0
884,RESERVE,0,0,D,0,0
885,RESERVE,0,0,D,0,0
886,RESERVE,0,1,D,0,0
887,RESERVE,0,0,D,0,2
888,GREENERY,0,0,E,0,0
889,GREENERY,0,0,E,0,0
890,GREENERY,0,0,D,0,0
891,GREENERY,0,0,D,0,0
892,TRANSPORTATION,0,0,C,0,0
893,TRANSPORTATION,0,0,C,0,0
897,BUSINESS,0,7,B,0,0
898,RESERVE,0,0,B,0,3
899,TRANSPORTATION,0,7,B,157.299625,2
900,BUSINESS,0,2,F,4.145813,1
901,GREENERY,0,1,E,1754.623339,1
902,RESIDENTIAL,18,46,F,469.131277,7
903,RESIDENTIAL,1,38,B,0,4
904,RESIDENTIAL,0,13,B,0,4
905,RESIDENTIAL,0,7,B,149.32055,5
906,RESIDENTIAL,3,52,B,0,8
907,RESIDENTIAL,3,9,B,0,4
908,RESERVE,0,11,F,0,0
909,RESERVE,0,0,D,0,0
910,RESERVE,0,0,D,0,0
911,RESERVE,0,0,F,0,0
912,RESERVE,0,0,F,0,0
913,RESERVE,0,0,D,0,0
914,RESIDENTIAL,19,120,B,124.291167,6
915,RESIDENTIAL,17,42,B,155.221653,4
916,RESIDENTIAL,13,208,B,1003.384393,10
917,RESIDENTIAL,6,2,B,63.083294,6
918,RESIDENTIAL,8,7,F,0,4
919,RESIDENTIAL,3,0,D,0,2
920,RESERVE,0,0,D,0,0
921,RESERVE,0,0,D,0,0
922,RESERVE,0,0,G,0,0
923,GREENERY,0,0,G,0,0
924,RESERVE,0,0,G,0,0
925,RESERVE,0,0,C,0,0
926,RESERVE,0,0,G,0,0
927,TRANSPORTATION,0,0,G,0,0
938,RESERVE,0,0,G,0,0
955,RESERVE,0,0,G,0,0
956,RESERVE,0,0,G,0,0
957,RESERVE,0,0,G,0,0
958,RESERVE,0,0,G,0,0
959,RESERVE,0,0,G,0,0
960,RESERVE,0,0,G,0,0
976,RESERVE,0,0,D,0,0
977,RESERVE,0,0,G,0,0
980,RESERVE,0,0,D,0,0
981,RESERVE,0,0,B,0,0
982,RESERVE,0,0,D,0,0
983,GREENERY,0,0,F,0,4
984,GREENERY,0,0,F,0,0
985,GREENERY,0,0,E,0,0
986,GREENERY,0,0,D,0,0
987,GREENERY,0,0,F,0,0
988,GREENERY,0,2,F,0,0
989,GREENERY,0,0,F,0,0
992,BUSINESS,0,0,B,0,0
993,BUSINESS,0,4,B,0,2
994,RESERVE,0,0,D,0,3
995,TRANSPORTATION,3,10,E,1334.336212,4
996,GREENERY,0,0,F,987.032986,0
997,GREENERY,0,0,B,0,0
998,COMMERCIAL,2,6,D,800.112459,2
999,RESERVE,0,0,D,0,0
1000,RESERVE,0,0,D,294.098165,0
1001,RESERVE,0,0,D,844.574226,1
1002,TRANSPORTATION,0,11,D,427.369091,1
1003,COMMERCIAL,0,0,B,32.657078,2
1004,RESERVE,0,0,D,0,0
1005,RESERVE,0,0,F,0,0
1006,RESERVE,0,0,F,0,0
1007,RESERVE,0,0,F,0,0
1008,RESERVE,0,0,F,0,0
1009,RESERVE,1,0,F,0,0
1010,RESERVE,7,35,F,0,7
1011,RESIDENTIAL,11,23,B,0,5
1012,COMMERCIAL,9,51,B,1131.436148,9
1013,GREENERY,0,9,B,34.317908,6
1014,RESIDENTIAL,8,94,D,0,8
1015,RESIDENTIAL,3,10,E,0,2
1016,RESIDENTIAL,0,0,F,0,2
1018,TRANSPORTATION,0,0,G,83.388167,0
1019,TRANSPORTATION,0,0,A,850.45116,0
1020,RESERVE,0,0,F,0,0
1021,RESERVE,0,0,C,0,0
1022,RESERVE,0,0,C,0,0
1023,TRANSPORTATION,0,0,B,111.152848,0
1024,BUSINESS,0,0,B,0,0
1025,BUSINESS,0,0,G,0,0
1032,RESERVE,0,0,G,0,0
1033,RESERVE,0,0,D,0,0
1034,RESERVE,0,0,D,0,0
1035,RESERVE,0,0,D,0,0
1036,RESERVE,0,0,D,0,0
1037,RESERVE,0,0,G,0,0
1050,RESERVE,0,0,G,0,0
1051,RESERVE,0,0,F,0,0
1052,RESERVE,0,0,F,0,0
1053,RESERVE,0,0,G,0,0
1054,RESERVE,0,0,G,0,0
1055,RESERVE,0,0,D,0,0
1056,RESERVE,0,0,D,0,0
1071,RESERVE,0,0,G,0,0
1072,RESERVE,0,0,D,0,0
1073,RESERVE,0,0,D,0,0
1074,RESERVE,0,0,D,0,0
1075,RESERVE,0,0,D,0,0
1076,RESERVE,0,0,D,0,0
1077,RESERVE,0,0,B,0,0
1078,RESERVE,0,0,D,0,4
1079,RESERVE,0,0,D,0,0
